group_id,legs_in_group,day,time,side,tags,entry,sl,tp,sl_dist,tp_dist,rr,outcome,r_mult,fill_time,exit_time
57399675,2,10,13:37,sell,,4020.0,4026.0,4000.0,6.0,20.0,3.3333333333333335,SL,-1.0,2025-10-10T15:05:00+00:00,2025-10-10T15:05:00+00:00
57399675,2,10,13:37,sell,,-4022.0,4026.0,4000.0,8048.0,-8022.0,,NC,0.0,,
57451779,1,10,13:37,sell,,4038.0,4043.0,4004.0,5.0,34.0,6.8,TP,6.8,2025-10-10T15:30:00+00:00,2025-10-10T16:05:00+00:00
538987081,1,10,13:40,buy,zone_hunt,3975.0,3971.0,3996.0,4.0,21.0,5.25,NC,0.0,,
508534611,1,10,13:40,buy,,3970.0,3964.0,3996.0,6.0,26.0,4.333333333333333,NC,0.0,,
646004722,2,13,11:37,sell,ATH,4091.0,4096.0,4060.0,5.0,31.0,6.2,SL,-1.0,2025-10-13T08:15:00+00:00,2025-10-13T08:45:00+00:00
646004722,2,13,11:37,sell,ATH,-4094.0,4096.0,4060.0,8190.0,-8154.0,,NC,0.0,,
328963299,1,13,11:38,buy,scalp,4038.0,4034.0,4055.0,4.0,17.0,4.25,NC,0.0,,
931379050,1,13,11:40,buy,scalp,4071.0,4067.0,4090.0,4.0,19.0,4.75,NC,0.0,,
966293529,2,14,07:12,sell,ATH,4178.0,4184.0,4155.0,6.0,23.0,3.8333333333333335,SL,-1.0,2025-10-14T03:50:00+00:00,2025-10-14T05:05:00+00:00
966293529,2,14,07:12,sell,ATH,-4181.0,4184.0,4155.0,8365.0,-8336.0,,NC,0.0,,
895995862,1,14,07:12,buy,scalp,4124.0,4120.0,4155.0,4.0,31.0,7.75,SL,-1.0,2025-10-14T06:10:00+00:00,2025-10-14T06:20:00+00:00
7088270,1,14,07:12,buy,,4086.0,4080.0,4100.0,6.0,14.0,2.3333333333333335,NC,0.0,,
807590821,2,15,10:46,buy,,4188.0,4184.0,4208.0,4.0,20.0,5.0,SL,-1.0,2025-10-15T09:20:00+00:00,2025-10-15T09:20:00+00:00
