day,time,side,tags,entry,sl,tp,sl_dist,tp_dist,rr
10,13:37,sell,,4038.0,4043.0,4004.0,5.0,34.0,6.8
10,13:40,buy,zone_hunt,3975.0,3971.0,3996.0,4.0,21.0,5.25
10,13:40,buy,,3970.0,3964.0,3996.0,6.0,26.0,4.333333333333333
13,11:38,buy,scalp,4038.0,4034.0,4055.0,4.0,17.0,4.25
13,11:40,buy,scalp,4071.0,4067.0,4090.0,4.0,19.0,4.75
14,07:12,buy,scalp,4124.0,4120.0,4155.0,4.0,31.0,7.75
14,07:12,buy,,4086.0,4080.0,4100.0,6.0,14.0,2.3333333333333335
15,10:46,buy,,4188.0,4184.0,4208.0,4.0,20.0,5.0
15,10:46,buy,,4188.0,4184.0,4208.0,4.0,20.0,5.0
15,13:10,buy,,4153.0,4148.0,4180.0,5.0,27.0,5.4
16,12:11,sell,ATH,4265.0,4270.0,4244.0,5.0,21.0,4.2
16,13:07,buy,scalp,4219.0,4215.0,4240.0,4.0,21.0,5.25
17,11:11,sell,scalp,4362.0,4366.0,4343.0,4.0,19.0,4.75
17,14:34,buy,,4325.0,4320.0,4350.0,5.0,25.0,5.0
20,14:19,buy,scalp,4231.0,4227.0,4252.0,4.0,21.0,5.25
21,12:39,sell,high_risk,4295.0,4299.0,4260.0,4.0,35.0,8.75
22,10:05,sell,,4230.0,4235.0,4208.0,5.0,22.0,4.4
22,11:44,buy,scalp,4062.0,4056.0,4080.0,6.0,18.0,3.0
23,11:30,buy,,4087.0,4083.0,4110.0,4.0,23.0,5.75
23,11:51,sell,,4165.0,4170.0,4144.0,5.0,21.0,4.2
24,11:13,sell,,4166.0,4171.0,4144.0,5.0,22.0,4.4
24,11:13,buy,,4065.0,4060.0,4086.0,5.0,21.0,4.2
